OID_,CTR_MN_ISO,CTR_MN_NM,UC_NM_MN,UC_NM_LST,Total_POP,Access_POP,SDG1121pct,Shape_Length,Shape_Area
12935,YEM,Yemen,Al Fassayah,Al Fassayah,320.226419568061885,-9999.000000000000000,-9999.000000000000000,0.053117368324490,0.000165487757176
12936,YEM,Yemen,Qabi`,Qabi`; `Usalib; Al Humayra'; Durafah; Dar al Hayl; Yihar; As Sarraf; Dimnat Nakhlan; As Sayani; Az Zafir; Al Quray`a'; Dhi Shiraq; al kharib; Dar al Jabal; Bara`at; Al Akhtur; Diras alsofla; Diras al Ulya; jalap,9959.675024271016810,-9999.000000000000000,-9999.000000000000000,0.106516038924006,0.000415472281378
12937,YEM,Yemen,Qibal al Ulya,Qibal al Ulya; Ad Dubr; Qibal as Sufla; Dhi Mushammir; Al Musayniah; Al Mahjar; Al Kanani; Hadiyah; Dar Khayran; Al Ishar; Al Abra; Al Mansit; Unuq; Dar ar Rumayshi; Al Bair; Hajar Mashrafah; Iryan; Ad Darfah; Dhi `Adin; Al Habari; Bayt an Najri; Salahit;,462.160526990890446,-9999.000000000000000,-9999.000000000000000,0.036836082724947,0.000083266483227
12938,YEM,Yemen,Sakin,Sakin; Shayhan; Al Janad; Savafe; Quzaylah; Al `Irq; Ash Shayhan; `Arabah; Hutrush; Batnah; Az Zahrah,2179.077829599381403,-9999.000000000000000,-9999.000000000000000,0.053239938549280,0.000166098757190
12939,YEM,Yemen,Hawrah,Hawrah; Al Hud; Ad Da`ah; Mawqa`ah; Al `Uzzir; Al Aqqaybah; Dar al Mathan; Habak; Ad Dawmalah; Mahwal A`la' as Salw; Qaryat al `Uqaymah Hawrah,3936.729757308960416,-9999.000000000000000,-9999.000000000000000,0.036747763745473,0.000082945445646
12940,YEM,Yemen,Risabah,Risabah; Ad Dayq; Qawan,4169.334718465804144,-9999.000000000000000,-9999.000000000000000,0.106782054756307,0.000417149208348
12941,YEM,Yemen,Al Akamah,Al Akamah; Ash Sharaf,1687.730581045151212,-9999.000000000000000,-9999.000000000000000,0.053175740766464,0.000165776374153
12942,YEM,Yemen,Zarajah,Zarajah,1516.919316291809992,-9999.000000000000000,-9999.000000000000000,0.073797177631922,0.000250477254725
12943,YEM,Yemen,Dhamar,Dhamar,134143.053084254352143,4813.108415603638605,3.588041501173059,0.307561455030851,0.002584309723342
12944,YEM,Yemen,An Najd,An Najd; Qub az Zahh; Al Jaybal; Al Kurb; Qaryat Dhuwab; Adh Dhira`; قرية الصنع; Al Qab`; As Salw,2353.977816581725165,-9999.000000000000000,-9999.000000000000000,0.036743454622826,0.000082928603765
12945,YEM,Yemen,Yarim,Yarim,53032.272181987711519,-9999.000000000000000,-9999.000000000000000,0.159996322635232,0.000999325190913
12946,YEM,Yemen,As Saddah,As Saddah,25169.504953861236572,-9999.000000000000000,-9999.000000000000000,0.167632253478630,0.000998618156690
12947,YEM,Yemen,Al Ajbur,Al Ajbur; Al `Afif; Habil as Suq; Akamat `Awadi; Al Mawaqi`; Darabijah; Dar ar Ruwayd; Al Qurayn; Adinah,411.830966711044368,-9999.000000000000000,-9999.000000000000000,0.036795363758993,0.000083114716165
12948,YEM,Yemen,An Nadirah,An Nadirah,3393.003784656523294,-9999.000000000000000,-9999.000000000000000,0.057156002506095,0.000166406777039
12949,YEM,Yemen,Ad Dahl,Ad Dahl; Khab; Zawr Nasir; Ushtub; Ghayl Al Sabtan; Al Mari al Asfal; Al Burayd; Al Athabah,124.678257703781142,-9999.000000000000000,-9999.000000000000000,0.037113530156056,0.000084260902892
12950,YEM,Yemen,Ar Radmah,Ar Radmah,1696.312527894973755,-9999.000000000000000,-9999.000000000000000,0.053323869976849,0.000166499770358
12951,YEM,Yemen,Hammam Damt,Hammam Damt,4670.500085592266259,-9999.000000000000000,-9999.000000000000000,0.126941823935173,0.000499181108868
12952,YEM,Yemen,Marhab,Marhab,129.915105402469550,-9999.000000000000000,-9999.000000000000000,0.036768703397179,0.000083013493924
12953,YEM,Yemen,Qa'atabah,Qa'atabah,11630.832244992274354,-9999.000000000000000,-9999.000000000000000,0.163654002489637,0.001163491568676
12954,YEM,Yemen,Am Shaaibi,Am Shaaibi,55.694146558642394,-9999.000000000000000,-9999.000000000000000,0.057006635604891,0.000165701849454
12955,YEM,Yemen,Ad Dala,Ad Dala,6792.988167524337769,-9999.000000000000000,-9999.000000000000000,0.090033178726904,0.000498374230175
12956,YEM,Yemen,Rada'a,Rada'a,33162.464478492678609,-9999.000000000000000,-9999.000000000000000,0.130915095944793,0.000666557434315
