CTR_MN_NM,Total_Country_POP,Total_Access_POP,Percent_Access,IND_NAME,DIM_GEO_NAME,DIM_1_CODE,VALUE_NUMERIC
Equatorial Guinea,64128.78702491529,8315.999872922892,0.1296765502471138,Age-standardized prevalence of obesity among adults (18+ years) (%),Equatorial Guinea,SEX_BTSX,17.67374039
Equatorial Guinea,64128.78702491529,8315.999872922892,0.1296765502471138,Life expectancy at birth (years),Equatorial Guinea,SEX_FMLE,63.21443939
Equatorial Guinea,64128.78702491529,8315.999872922892,0.1296765502471138,Life expectancy at birth (years),Equatorial Guinea,SEX_MLE,60.17118835
Equatorial Guinea,64128.78702491529,8315.999872922892,0.1296765502471138,Life expectancy at birth (years),Equatorial Guinea,SEX_BTSX,61.60542297
Eritrea,234955.23012307647,-113464.46657586098,-0.4829195183968662,Age-standardized prevalence of obesity among adults (18+ years) (%),Eritrea,SEX_BTSX,4.832570076
Eritrea,234955.23012307647,-113464.46657586098,-0.4829195183968662,Life expectancy at birth (years),Eritrea,SEX_FMLE,66.23751068
Eritrea,234955.23012307647,-113464.46657586098,-0.4829195183968662,Life expectancy at birth (years),Eritrea,SEX_MLE,60.90835953
Eritrea,234955.23012307647,-113464.46657586098,-0.4829195183968662,Life expectancy at birth (years),Eritrea,SEX_BTSX,63.57308578
Estonia,405543.31115793495,394576.32701050746,0.9729573048163124,Age-standardized prevalence of obesity among adults (18+ years) (%),Estonia,SEX_BTSX,22.16319084
Estonia,405543.31115793495,394576.32701050746,0.9729573048163124,Life expectancy at birth (years),Estonia,SEX_FMLE,81.19586182
Estonia,405543.31115793495,394576.32701050746,0.9729573048163124,Life expectancy at birth (years),Estonia,SEX_MLE,72.82558441
Estonia,405543.31115793495,394576.32701050746,0.9729573048163124,Life expectancy at birth (years),Estonia,SEX_BTSX,77.13131714
Ethiopia,12976277.44367348,-2476725.437752233,-0.1908656352719822,Age-standardized prevalence of obesity among adults (18+ years) (%),Ethiopia,SEX_BTSX,2.822770119
Ethiopia,12976277.44367348,-2476725.437752233,-0.1908656352719822,Life expectancy at birth (years),Ethiopia,SEX_MLE,65.96191406
Ethiopia,12976277.44367348,-2476725.437752233,-0.1908656352719822,Life expectancy at birth (years),Ethiopia,SEX_FMLE,69.74860382
Ethiopia,12976277.44367348,-2476725.437752233,-0.1908656352719822,Life expectancy at birth (years),Ethiopia,SEX_BTSX,67.83908844
Fiji,216131.29141365,138131.46100151548,0.6391090345966981,Age-standardized prevalence of obesity among adults (18+ years) (%),Fiji,SEX_BTSX,33.83843994
Fiji,216131.29141365,138131.46100151548,0.6391090345966981,Life expectancy at birth (years),Fiji,SEX_FMLE,67.67014313
Fiji,216131.29141365,138131.46100151548,0.6391090345966981,Life expectancy at birth (years),Fiji,SEX_BTSX,65.50058746
